Absorbance:209,Unnamed: 1,Absorbance:209,Unnamed: 1,Absorbance:209,Unnamed: 1
225.65099999999998,0.09,225.65099999999998,0.05,225.65099999999998,0.05
225.86700000000002,0.1,225.86700000000002,0.08,225.86700000000002,0.08
226.083,0.13,226.083,0.11,226.083,0.14
226.298,0.12,226.298,0.12,226.298,0.15
226.514,0.16,226.514,0.09,226.514,0.1
226.73,0.12,226.73,0.1,226.73,0.16
226.946,0.09,226.946,0.07,226.946,0.18
227.162,0.06,227.162,0.03,227.162,0.13
227.378,0.07,227.378,0.08,227.378,0.15
227.59400000000002,0.07,227.59400000000002,0.05,227.59400000000002,0.13
227.80900000000003,0.12,227.80900000000003,0.05,227.80900000000003,0.15
228.025,0.14,228.025,0.06,228.025,0.14
228.24099999999999,0.15,228.24099999999999,0.1,228.24099999999999,0.13
228.457,0.17,228.457,0.1,228.457,0.13
228.672,0.16,228.672,0.11,228.672,0.14
228.888,0.14,228.888,0.12,228.888,0.1
229.104,0.14,229.104,0.13,229.104,0.09
229.32,0.13,229.32,0.12,229.32,0.12
229.535,0.14,229.535,0.1,229.535,0.13
229.75099999999998,0.19,229.75099999999998,0.17,229.75099999999998,0.14
229.967,0.19,229.967,0.15,229.967,0.15
230.183,0.21,230.183,0.19,230.183,0.19
230.398,0.23,230.398,0.19,230.398,0.21
230.614,0.24,230.614,0.18,230.614,0.19
230.83,0.21,230.83,0.15,230.83,0.21
231.045,0.25,231.045,0.18,231.045,0.23
231.261,0.23,231.261,0.13,231.261,0.19
231.476,0.25,231.476,0.14,231.476,0.16
231.692,0.22,231.692,0.16,231.692,0.17
231.908,0.23,231.908,0.18,231.908,0.16
232.123,0.19,232.123,0.15,232.123,0.11
232.33900000000003,0.19,232.33900000000003,0.15,232.33900000000003,0.11
232.554,0.15,232.554,0.14,232.554,0.1
232.77,0.17,232.77,0.13,232.77,0.09
232.986,0.15,232.986,0.13,232.986,0.09
233.201,0.17,233.201,0.11,233.201,0.13
233.417,0.15,233.417,0.11,233.417,0.15
233.632,0.18,233.632,0.13,233.632,0.15
233.84799999999998,0.19,233.84799999999998,0.16,233.84799999999998,0.15
234.063,0.18,234.063,0.13,234.063,0.15
234.27900000000002,0.19,234.27900000000002,0.14,234.27900000000002,0.14
234.49400000000003,0.21,234.49400000000003,0.16,234.49400000000003,0.16
234.71,0.19,234.71,0.15,234.71,0.17
234.925,0.16,234.925,0.09,234.925,0.16
235.14,0.16,235.14,0.12,235.14,0.16
235.356,0.17,235.356,0.12,235.356,0.19
235.571,0.18,235.571,0.11,235.571,0.19
235.787,0.21,235.787,0.13,235.787,0.19
236.002,0.22,236.002,0.19,236.002,0.23
236.217,0.23,236.217,0.16,236.217,0.2
236.433,0.22,236.433,0.18,236.433,0.2
236.648,0.19,236.648,0.18,236.648,0.17
236.864,0.16,236.864,0.16,236.864,0.14
237.079,0.17,237.079,0.15,237.079,0.13
237.294,0.17,237.294,0.16,237.294,0.15
237.51,0.17,237.51,0.13,237.51,0.16
237.725,0.19,237.725,0.14,237.725,0.19
237.94,0.2,237.94,0.16,237.94,0.2
238.155,0.23,238.155,0.17,238.155,0.2
238.37099999999998,0.22,238.37099999999998,0.16,238.37099999999998,0.19
238.58599999999998,0.22,238.58599999999998,0.2,238.58599999999998,0.18
238.801,0.22,238.801,0.21,238.801,0.19
239.016,0.22,239.016,0.19,239.016,0.19
