Absorbance:209,
372.99,0.02
373.198,0.01
373.406,0.01
373.614,0.01
373.821,0.01
374.029,0.01
374.237,0.01
374.445,0.01
374.653,0.01
374.861,0.01
375.068,0.01
375.276,0.01
375.484,0.01
375.692,0.01
375.899,0.01
376.107,0.01
376.315,0.01
376.523,0.01
376.73,0.01
376.938,0.02
377.146,0.02
377.353,0.02
377.561,0.02
377.769,0.02
377.976,0.02
378.184,0.02
378.392,0.02
378.599,0.02
378.807,0.02
379.014,0.02
379.222,0.02
379.429,0.01
379.637,0.01
379.845,0.02
380.052,0.02
380.26,0.02
380.467,0.02
380.674,0.02
380.882,0.02
381.089,0.02
381.297,0.02
381.504,0.02
381.712,0.02
381.919,0.02
382.126,0.02
382.334,0.02
382.541,0.02
382.749,0.02
382.956,0.02
383.163,0.02
383.371,0.02
383.578,0.02
383.785,0.02
383.992,0.02
384.2,0.02
384.407,0.02
384.614,0.02
384.821,0.02
385.029,0.02
385.236,0.02
385.443,0.02
385.65,0.02
385.857,0.02
386.064,0.02
386.272,0.02
386.479,0.02
386.686,0.02
386.893,0.02
387.1,0.02
387.307,0.02
387.514,0.02
387.721,0.02
387.928,0.02
388.135,0.02
388.342,0.02
388.549,0.02
388.756,0.02
388.963,0.02
389.17,0.02
389.377,0.02
389.584,0.02
389.791,0.02
389.998,0.02
390.205,0.02
390.412,0.02
390.619,0.02
390.826,0.02
391.032,0.02
391.239,0.02
391.446,0.02
391.653,0.02
391.86,0.02
392.067,0.01
392.273,0.01
392.48,0.01
392.687,0.01
392.894,0.01
393.1,0.01
393.307,0.01
393.514,0.01
393.72,0.01
393.927,0.02
394.134,0.02
394.34,0.02
394.547,0.02
394.754,0.02
394.96,0.02
395.167,0.02
395.374,0.02
395.58,0.02
395.787,0.02
395.993,0.02
396.2,0.02
396.406,0.02
396.613,0.02
396.819,0.02
397.026,0.02
397.232,0.02
397.439,0.02
397.645,0.02
397.852,0.02
398.058,0.02
398.265,0.02
398.471,0.01
398.677,0.02
398.884,0.02
399.09,0.02
399.297,0.02
399.503,0.02
399.709,0.02
399.916,0.02
400.122,0.02
400.328,0.02
400.534,0.02
400.741,0.02
400.947,0.02
401.153,0.02
401.359,0.02
401.566,0.02
401.772,0.02
401.978,0.02
402.184,0.02
402.39,0.02
402.597,0.02
402.803,0.02
403.009,0.02
403.215,0.02
403.421,0.02
403.627,0.02
403.833,0.02
404.039,0.02
404.245,0.02
404.452,0.02
404.658,0.02
404.864,0.02
405.07,0.02
405.276,0.02
405.482,0.02
405.688,0.02
405.893,0.02
406.099,0.02
406.305,0.02
406.511,0.02
406.717,0.02
406.923,0.02
407.129,0.02
407.335,0.02
407.541,0.02
407.747,0.02
407.952,0.02
408.158,0.02
408.364,0.02
408.57,0.02
408.776,0.02
408.981,0.02
409.187,0.02
409.393,0.02
409.599,0.02
409.804,0.02
410.01,0.02
410.216,0.02
410.421,0.02
410.627,0.02
410.833,0.02
411.038,0.02
411.244,0.02
411.45,0.02
411.655,0.02
411.861,0.02
412.066,0.02
412.272,0.02
412.478,0.02
412.683,0.02
412.889,0.02
413.094,0.02
413.3,0.02
413.505,0.02
413.711,0.02
413.916,0.02
414.122,0.02
414.327,0.02
414.532,0.02
414.738,0.02
414.943,0.02
415.149,0.02
415.354,0.02
415.559,0.02
415.765,0.02
415.97,0.02
416.175,0.02
416.381,0.02
416.586,0.02
416.791,0.02
416.997,0.02
417.202,0.02
417.407,0.02
417.612,0.02
417.818,0.02
418.023,0.02
418.228,0.02
418.433,0.02
418.638,0.02
418.844,0.02
419.049,0.02
419.254,0.02
419.459,0.02
419.664,0.02
419.869,0.02
420.074,0.02
420.279,0.02
420.484,0.02
420.69,0.02
420.895,0.02
421.1,0.02
421.305,0.02
421.51,0.02
421.715,0.02
421.92,0.02
422.125,0.02
422.329,0.02
422.534,0.02
422.739,0.02
422.944,0.02
423.149,0.02
423.354,0.02
423.559,0.02
423.764,0.02
423.969,0.02
424.173,0.02
424.378,0.02
424.583,0.02
424.788,0.02
424.993,0.02
425.197,0.02
425.402,0.02
425.607,0.02
425.812,0.02
426.016,0.02
426.221,0.02
426.426,0.02
426.631,0.02
426.835,0.02
427.04,0.02
427.244,0.02
427.449,0.02
427.654,0.02
427.858,0.02
428.063,0.02
428.268,0.02
428.472,0.02
428.677,0.02
428.881,0.02
429.086,0.02
429.29,0.02
429.495,0.02
429.699,0.02
429.904,0.02
430.108,0.02
430.313,0.02
430.517,0.02
430.722,0.02
430.926,0.02
431.13,0.02
431.335,0.02
431.539,0.02
431.743,0.02
431.948,0.02
432.152,0.02
432.356,0.02
432.561,0.02
432.765,0.02
432.969,0.02
433.174,0.02
433.378,0.02
433.582,0.02
433.786,0.02
433.991,0.02
434.195,0.02
434.399,0.02
434.603,0.02
434.807,0.02
435.012,0.02
435.216,0.02
435.42,0.02
435.624,0.02
435.828,0.02
436.032,0.02
436.236,0.02
436.44,0.02
436.644,0.02
436.848,0.02
437.052,0.02
437.256,0.02
437.46,0.02
437.664,0.02
437.868,0.02
438.072,0.02
438.276,0.02
438.48,0.02
438.684,0.02
438.888,0.02
439.092,0.02
439.296,0.02
439.5,0.02
439.704,0.02
439.908,0.02
440.111,0.02
440.315,0.02
440.519,0.02
440.723,0.02
440.927,0.02
441.13,0.02
441.334,0.02
441.538,0.02
441.742,0.02
441.945,0.02
442.149,0.02
442.353,0.02
442.556,0.02
442.76,0.02
442.964,0.02
443.167,0.02
443.371,0.02
443.575,0.02
443.778,0.02
443.982,0.02
444.185,0.02
444.389,0.02
444.593,0.02
444.796,0.02
445,0.02
445.203,0.02
445.407,0.02
445.61,0.02
445.814,0.02
446.017,0.02
446.221,0.02
446.424,0.02
446.627,0.02
446.831,0.02
447.034,0.02
447.238,0.02
447.441,0.02
447.644,0.02
447.848,0.02
448.051,0.02
